BuildingType,RC,WallArea,surfaceArea,OverallHeight,Orientation,GalzingArea,GlazingAreaDistribution,HeatingEnergykwh,CoolingEnergy
8,0.801044342,2265.2,5345.4,1,6,82.3,0.036332333,12231.61419,5724.264143
7,0.873464516,414.4,1763.8,1,0,49.8,0.120173745,3937.116757,3879.381756
2,0.997557105,174.3,174.3,2,5,26.1,0.149741824,288.9680752,1123.341412
8,0.744529875,2381.0,6081.6,1,1,173.0,0.072658547,53396.96284,1285.409713
8,0.871514547,1170.2,2398.2,1,1,140.4,0.119979491,13576.51733,4273.269275
8,0.871514547,1170.2,2398.2,1,2,70.2,0.059989745,1846.640813,3331.045783
4,0.99999585,563.3,563.3,2,0,101.4,0.180010652,2124.765259,2899.645168
8,0.968042554,2200.1,4802.5,2,7,79.6,0.036180174,14066.82523,7075.907918
7,0.996000752,690.8,1628.8,2,4,103.7,0.150115808,8943.356777,1946.871119
6,0.906940775,991.2,1872.2,1,4,59.4,0.059927361,2155.537721,2083.735309
8,0.988418785,2355.6,3573.6,2,1,132.3,0.056164035,18392.55422,3435.379084
8,0.832924253,1611.8,3510.2,1,4,165.2,0.102494106,8353.404713,3284.154413
5,0.841018946,201.2,201.2,5,2,60.3,0.299701789,1072.347046,1324.681237
2,0.943945833,174.3,1028.3,3,1,15.7,0.090074584,562.6964547,1924.011576
8,0.832924253,2027.8,4570.2,1,3,216.0,0.106519381,11070.75968,3679.800357
8,0.979627785,2629.8,4126.8,2,7,293.2,0.111491368,18271.80894,10185.68504
8,0.979627785,3085.8,5065.8,2,7,352.0,0.114070905,6826.797508,5915.932622
8,0.995742895,2330.0,3467.0,2,0,166.4,0.071416309,12495.37815,2353.360694
8,0.832924253,1898.8,4119.2,1,4,149.0,0.078470613,9272.76866,4136.405085
8,0.988418785,2355.6,3573.6,2,2,198.4,0.084224826,7701.321582,6183.506509
8,0.871514547,1637.6,3332.5,1,7,94.0,0.057401075,1133.89197,533.3893477
8,0.988418785,2588.2,3965.7,2,1,379.5,0.146626999,2379.150948,6844.381773
8,0.979627785,1672.0,3491.0,2,4,107.2,0.064114833,21628.64498,4091.565211
1,0.910018263,662.2,1516.2,1,5,79.4,0.119903352,2751.644278,2958.845525
8,0.832924253,1680.0,3954.0,1,5,216.0,0.128571429,16718.2392,4717.271945
0,0.813878704,662.2,662.2,5,1,198.7,0.300060405,8977.059951,1305.338547
7,0.873464516,414.4,1763.8,1,0,49.8,0.120173745,8070.004989,2663.136815
8,0.744529875,2381.0,6081.6,1,3,173.0,0.072658547,19389.28893,5683.527263
6,0.871514547,1170.2,2398.2,1,3,210.6,0.179969236,3748.378987,2085.786807
5,0.875751516,487.9,1341.9,4,4,146.4,0.300061488,2459.745492,1643.542561
3,0.943945833,975.8,975.8,3,4,58.6,0.06005329,6759.977305,1057.10735
3,0.989937806,565.5,565.5,2,5,169.8,0.300265252,3167.512127,2234.373839
8,0.871514547,1429.0,2945.0,1,1,313.6,0.219454164,5352.650026,6358.76301
8,0.832924253,2027.8,4570.2,1,6,144.1,0.071062235,3306.134743,3122.965324
8,0.773567127,2494.4,6132.4,1,5,275.6,0.110487492,15865.10931,2343.982419
5,0.99999585,563.3,1701.3,2,5,50.7,0.090005326,6766.717939,2222.064854
8,0.99988623,1740.0,2426.4,2,3,198.5,0.11408046,6433.203061,4568.098771
8,0.871514547,1637.6,3332.5,1,4,94.0,0.057401075,13669.71392,2952.104889
8,0.801044342,1861.2,4297.4,1,5,93.6,0.050290135,7029.89576,3669.835941
8,0.744529875,2766.8,7111.4,1,6,257.4,0.093031661,6557.758266,4387.860063
8,0.968042554,3402.8,5575.2,2,0,235.8,0.069295874,26547.54982,2861.545929
8,0.906940775,1113.6,2098.6,1,7,118.8,0.106681034,7545.114702,2551.769808
8,0.801044342,2142.0,4900.1,1,3,127.6,0.059570495,5829.769727,6877.205734
6,0.984889259,576.4,874.4,1,2,52.0,0.090215128,1215.072657,636.2572933
8,0.832924253,2027.8,4570.2,1,4,72.0,0.03550646,4490.434937,6410.636589
8,0.744529875,1921.2,5231.2,1,2,173.0,0.090047887,6660.040069,6435.54763
6,0.871514547,1170.2,2398.2,1,6,105.4,0.090070073,9402.599144,81.76682858
8,0.871514547,1637.6,3332.5,1,3,156.6,0.095627748,5830.942012,14392.13411
8,0.744529875,1921.2,5231.2,1,0,346.0,0.180095773,25988.07714,8466.237075
8,0.937146424,928.8,1637.6,1,1,50.4,0.054263566,5709.024447,2309.693104
1,0.99999585,1126.6,2264.6,2,6,169.0,0.150008876,3678.335001,3356.249896
8,0.99988623,2142.0,3029.6,2,4,99.4,0.046405229,10699.14556,2669.291307
